2018-04-20 21:30:34 下午 com.android.providers.downloads [Thread:10668] processing a message, action=Command 
2018-04-20 23:59:52 下午 com.android.providers.downloads [Thread:11107] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 23:59:52 下午 com.android.providers.downloads [Thread:11107] processing a message, action=Command 
2018-04-21 07:36:53 上午 com.android.providers.downloads [Thread:11550] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 07:36:53 上午 com.android.providers.downloads [Thread:11550] processing a message, action=Command 
2018-04-21 10:03:18 上午 com.android.providers.downloads [Thread:58] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 10:03:18 上午 com.android.providers.downloads [Thread:58] processing a message, action=Command 
2018-04-21 11:54:56 上午 com.android.providers.downloads [Thread:823] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 11:54:56 上午 com.android.providers.downloads [Thread:823] processing a message, action=Command 
2018-04-21 13:25:16 下午 com.android.providers.downloads [Thread:1087] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 13:25:17 下午 com.android.providers.downloads [Thread:1087] processing a message, action=Command 
2018-04-21 19:34:34 下午 com.android.providers.downloads [Thread:2129] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 19:34:34 下午 com.android.providers.downloads [Thread:2129] processing a message, action=Command 
2018-04-21 23:12:21 下午 com.android.providers.downloads [Thread:2424] do sync info 
2018-04-21 23:12:23 下午 com.android.providers.downloads [Thread:2432] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 23:12:23 下午 com.android.providers.downloads [Thread:2432] processing a message, action=Command 
2018-04-22 00:33:56 上午 com.android.providers.downloads [Thread:2674] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 00:33:56 上午 com.android.providers.downloads [Thread:2674] processing a message, action=Command 
2018-04-22 07:26:41 上午 com.android.providers.downloads [Thread:2861] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 07:26:41 上午 com.android.providers.downloads [Thread:2861] processing a message, action=Command 
2018-04-22 11:52:09 上午 com.android.providers.downloads [Thread:1018] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 11:52:09 上午 com.android.providers.downloads [Thread:1018] processing a message, action=Command 
2018-04-22 13:00:17 下午 com.android.providers.downloads [Thread:1194] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 13:00:17 下午 com.android.providers.downloads [Thread:1194] processing a message, action=Command 
2018-04-22 14:37:47 下午 com.android.providers.downloads [Thread:1491] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 14:37:47 下午 com.android.providers.downloads [Thread:1491] processing a message, action=Command 
2018-04-22 16:57:05 下午 com.android.providers.downloads [Thread:1845] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 16:57:05 下午 com.android.providers.downloads [Thread:1845] processing a message, action=Command 
2018-04-22 19:28:38 下午 com.android.providers.downloads [Thread:2170] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 19:28:38 下午 com.android.providers.downloads [Thread:2170] processing a message, action=Command 
2018-04-22 20:39:01 下午 com.android.providers.downloads [Thread:2348] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 20:39:01 下午 com.android.providers.downloads [Thread:2348] processing a message, action=Command 
2018-04-22 21:50:43 下午 com.android.providers.downloads [Thread:2443] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-22 21:50:43 下午 com.android.providers.downloads [Thread:2443] processing a message, action=Command 
2018-04-23 05:34:56 上午 com.android.providers.downloads [Thread:2854] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-23 05:34:56 上午 com.android.providers.downloads [Thread:2854] processing a message, action=Command 
2018-04-23 06:46:20 上午 com.android.providers.downloads [Thread:3014] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-23 06:46:20 上午 com.android.providers.downloads [Thread:3014] processing a message, action=Command 
2018-04-23 09:03:16 上午 com.android.providers.downloads [Thread:3222] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-23 09:03:16 上午 com.android.providers.downloads [Thread:3222] processing a message, action=Command 
